classifier,model,fold,balanced_accuracy,macro_AUROC,log_loss,n_features,features
logistic,amplitude_plus_carrier_mass,44,0.2857142857142857,0.4743835034013606,1.3959212986332108,4,"Y_total_mean,Y_total_integral,contact_area,C_total_mean"
logistic,amplitude_plus_carrier_mass,45,0.15178571428571427,0.46673044217687076,1.4002103938180441,4,"Y_total_mean,Y_total_integral,contact_area,C_total_mean"
logistic,amplitude_plus_carrier_mass,46,0.24107142857142855,0.44759778911564624,1.4081323395243268,4,"Y_total_mean,Y_total_integral,contact_area,C_total_mean"
logistic,amplitude_plus_carrier_mass,47,0.1875,0.4836309523809524,1.3896970749022732,4,"Y_total_mean,Y_total_integral,contact_area,C_total_mean"
logistic,amplitude_plus_carrier_mass,48,0.2857142857142857,0.47778486394557823,1.3986912233376914,4,"Y_total_mean,Y_total_integral,contact_area,C_total_mean"
logistic,amplitude_plus_carrier_mass,49,0.25892857142857145,0.5032950680272108,1.3877107029046059,4,"Y_total_mean,Y_total_integral,contact_area,C_total_mean"
logistic,amplitude_plus_carrier_mass,50,0.3035714285714286,0.5315688775510203,1.380985577278524,4,"Y_total_mean,Y_total_integral,contact_area,C_total_mean"
logistic,amplitude_plus_carrier_mass,51,0.24107142857142855,0.515093537414966,1.3839523134016498,4,"Y_total_mean,Y_total_integral,contact_area,C_total_mean"
logistic,amplitude_plus_carrier_mass,52,0.26785714285714285,0.5125425170068028,1.3874209390302903,4,"Y_total_mean,Y_total_integral,contact_area,C_total_mean"
logistic,amplitude_plus_carrier_mass,53,0.2767857142857143,0.4830994897959184,1.4021962515864261,4,"Y_total_mean,Y_total_integral,contact_area,C_total_mean"
logistic,amplitude_plus_carrier_mass,54,0.24107142857142858,0.5077593537414966,1.3992878392095471,4,"Y_total_mean,Y_total_integral,contact_area,C_total_mean"
logistic,amplitude_plus_carrier_mass,55,0.2857142857142857,0.5469812925170068,1.3806994286835228,4,"Y_total_mean,Y_total_integral,contact_area,C_total_mean"
logistic,amplitude_plus_carrier_mass,56,0.25892857142857145,0.4899022108843537,1.39747070510922,4,"Y_total_mean,Y_total_integral,contact_area,C_total_mean"
logistic,amplitude_plus_carrier_mass,57,0.24107142857142855,0.4927721088435374,1.3918211972587449,4,"Y_total_mean,Y_total_integral,contact_area,C_total_mean"
logistic,amplitude_plus_carrier_mass,58,0.2767857142857143,0.4550382653061224,1.4127333314626724,4,"Y_total_mean,Y_total_integral,contact_area,C_total_mean"
logistic,amplitude_plus_carrier_mass,59,0.2767857142857143,0.5055272108843537,1.388649386717752,4,"Y_total_mean,Y_total_integral,contact_area,C_total_mean"
logistic,amplitude_plus_carrier_mass,60,0.2767857142857143,0.47480867346938777,1.4011949268540866,4,"Y_total_mean,Y_total_integral,contact_area,C_total_mean"
logistic,amplitude_plus_carrier_mass,61,0.26785714285714285,0.5235969387755102,1.3877584439976298,4,"Y_total_mean,Y_total_integral,contact_area,C_total_mean"
logistic,amplitude_plus_carrier_mass,62,0.30357142857142855,0.5407100340136054,1.3827859036653425,4,"Y_total_mean,Y_total_integral,contact_area,C_total_mean"
logistic,amplitude_plus_carrier_mass,63,0.24107142857142858,0.4981930272108844,1.3900412410449883,4,"Y_total_mean,Y_total_integral,contact_area,C_total_mean"
logistic,amplitude_plus_carrier_mass,64,0.2767857142857143,0.48650085034013607,1.3925711137308991,4,"Y_total_mean,Y_total_integral,contact_area,C_total_mean"
logistic,amplitude_plus_carrier_mass,65,0.2589285714285714,0.5195578231292517,1.3874428281139335,4,"Y_total_mean,Y_total_integral,contact_area,C_total_mean"
logistic,amplitude_plus_carrier_mass,66,0.22321428571428573,0.4760841836734694,1.4047105393121393,4,"Y_total_mean,Y_total_integral,contact_area,C_total_mean"
logistic,amplitude_plus_carrier_mass,67,0.24107142857142855,0.49766156462585037,1.3885513095618995,4,"Y_total_mean,Y_total_integral,contact_area,C_total_mean"
logistic,amplitude_plus_carrier_mass,68,0.2589285714285714,0.4911777210884354,1.3980424654674304,4,"Y_total_mean,Y_total_integral,contact_area,C_total_mean"
logistic,amplitude_plus_carrier_mass,69,0.25,0.4991496598639456,1.3854293580746415,4,"Y_total_mean,Y_total_integral,contact_area,C_total_mean"
logistic,amplitude_plus_carrier_mass,70,0.24107142857142858,0.5109481292517006,1.391149955830566,4,"Y_total_mean,Y_total_integral,contact_area,C_total_mean"
